年月日,曜日,平均気温(℃),最高気温(℃),最低気温(℃),エリア
2024年1月1日,月,9.2,12.5,4.4,東京
2024年1月2日,火,6.1,9.2,2.8,東京
2024年1月3日,水,7.4,11,2.8,東京
2024年1月4日,木,9.7,15.3,6.3,東京
2024年1月5日,金,7.4,13.6,2.9,東京
2024年1月6日,土,9.1,15.6,3,東京
2024年1月7日,日,8.3,12.7,5.7,東京
2024年1月8日,月,5.4,10.2,2.7,東京
2024年1月9日,火,5.4,11,1.5,東京
2024年1月10日,水,7.2,12.3,1.7,東京
2024年1月11日,木,4.8,7.2,1.8,東京
2024年1月12日,金,7.1,13.7,0.1,東京
2024年1月13日,土,5.9,11.7,1.2,東京
2024年1月14日,日,6.4,10.5,0.2,東京
2024年1月15日,月,6.3,11.4,2.4,東京
2024年1月16日,火,3.7,7,0,東京
2024年1月17日,水,6.2,12.2,0.8,東京
2024年1月18日,木,8.5,13.4,2.5,東京
2024年1月19日,金,10.2,15.1,7.6,東京
2024年1月20日,土,6.3,7.6,4.6,東京
2024年1月21日,日,8.1,12.1,4.6,東京
2024年1月22日,月,10.7,14.6,6.7,東京
2024年1月23日,火,9,13.9,5.5,東京
2024年1月24日,水,4.5,8.4,1.1,東京
2024年1月25日,木,4.2,9.6,-1.1,東京
2024年1月26日,金,6.2,12,1.8,東京
2024年1月27日,土,7.2,12.2,2.9,東京
2024年1月28日,日,6,9.6,2.8,東京
2024年1月29日,月,6.8,11.9,2.4,東京
2024年1月30日,火,7.7,13.3,4,東京
2024年1月31日,水,9.3,14.1,2.7,東京
2024年2月1日,木,9.8,16.3,5,東京
2024年2月2日,金,5,7.6,3.3,東京
2024年2月3日,土,6.9,11.7,3.4,東京
2024年2月4日,日,4.9,6.9,2.6,東京
2024年2月5日,月,3,6.2,0.3,東京
2024年2月6日,火,3.4,5.4,0.8,東京
2024年2月7日,水,4.7,9.6,-0.1,東京
2024年2月8日,木,5.7,11.3,1.2,東京
2024年2月9日,金,6.8,11.3,2.5,東京
2024年2月10日,土,7.1,12.4,1.8,東京
2024年2月11日,日,8.1,12.8,4.3,東京
2024年2月12日,月,7.3,12.7,3.6,東京
2024年2月13日,火,9.6,17.3,1.6,東京
2024年2月14日,水,10.9,18.5,4.2,東京
2024年2月15日,木,14.4,21.1,6.1,東京
2024年2月16日,金,10.6,17,6.2,東京
2024年2月17日,土,9,13.6,4.6,東京
2024年2月18日,日,13.4,18.8,9.2,東京
2024年2月19日,月,15,17.2,12.8,東京
2024年2月20日,火,18.1,23.7,12.8,東京
2024年2月21日,水,8.7,13.2,7.3,東京
2024年2月22日,木,5.5,8,3.6,東京
2024年2月23日,金,2.8,4,1.7,東京
2024年2月24日,土,5.3,10.3,1.2,東京
2024年2月25日,日,4.4,5.8,3.5,東京
2024年2月26日,月,7.8,13.3,4.8,東京
2024年2月27日,火,7,11.4,4.1,東京
2024年2月28日,水,8.3,14.4,4.1,東京
2024年2月29日,木,7.6,11.8,3.5,東京
2024年3月1日,金,9.9,16.4,3.7,東京
2024年3月2日,土,6.3,10.1,3.9,東京
2024年3月3日,日,7.5,13.4,1.2,東京
2024年3月4日,月,9.4,15.7,2.9,東京
2024年3月5日,火,6.4,9.1,2,東京
2024年3月6日,水,5.6,10.4,2,東京
2024年3月7日,木,6.9,10.7,4.9,東京
2024年3月8日,金,4.5,9.4,0.4,東京
2024年3月9日,土,6.1,11.2,2.6,東京
2024年3月10日,日,6.7,13.6,0.5,東京
2024年3月11日,月,8.2,13.8,1.8,東京
2024年3月12日,火,7.8,10,6.1,東京
2024年3月13日,水,9.5,13.7,6.7,東京
2024年3月14日,木,9.5,15.6,2.8,東京
2024年3月15日,金,11.8,17.6,6.2,東京
2024年3月16日,土,14.8,22.7,10.8,東京
2024年3月17日,日,16,21.7,9.8,東京
2024年3月18日,月,9.5,14.6,4.1,東京
2024年3月19日,火,8.4,12.4,3.7,東京
2024年3月20日,水,8.5,15.7,4.7,東京
2024年3月21日,木,6.5,11.4,3.4,東京
2024年3月22日,金,7.2,13.3,1.8,東京
2024年3月23日,土,5.7,9.3,2.6,東京
2024年3月24日,日,10.2,15.5,4.2,東京
2024年3月25日,月,11.3,12.5,10.8,東京
2024年3月26日,火,9.4,12.3,6.1,東京
2024年3月27日,水,10.9,16.5,6,東京
2024年3月28日,木,10.9,14.6,7.2,東京
2024年3月29日,金,16.3,22.2,11.7,東京
2024年3月30日,土,17.8,24.6,12.3,東京
2024年3月31日,日,19.5,28.1,12.2,東京
2024年4月1日,月,14.6,19.7,11.8,東京
2024年4月2日,火,14.2,20.6,8.4,東京
2024年4月3日,水,13.9,16.6,12.3,東京
2024年4月4日,木,15.4,19.9,11.3,東京
2024年4月5日,金,11.4,15.1,9,東京
2024年4月6日,土,12.7,15.8,9,東京
2024年4月7日,日,17,22.6,13.1,東京
2024年4月8日,月,18.8,23.2,15.4,東京
2024年4月9日,火,15.6,19.8,9.7,東京
2024年4月10日,水,11.7,17.8,7.4,東京
2024年4月11日,木,14,19.8,7.7,東京
2024年4月12日,金,15,18.2,12.8,東京
2024年4月13日,土,16.4,22.7,11.1,東京
2024年4月14日,日,18,24.8,12.7,東京
2024年4月15日,月,19.4,26.8,14,東京
2024年4月16日,火,19.2,23.4,15.9,東京
2024年4月17日,水,20.1,25.5,16.5,東京
2024年4月18日,木,17.9,21.4,14.3,東京
2024年4月19日,金,18.3,23.6,14.1,東京
2024年4月20日,土,19.4,26.1,12.7,東京
2024年4月21日,日,18.4,23.3,14.9,東京
2024年4月22日,月,15.6,18.6,13.2,東京
2024年4月23日,火,16.9,19.4,14.8,東京
2024年4月24日,水,15,16.5,13.9,東京
2024年4月25日,木,19.5,25.8,13.8,東京
2024年4月26日,金,20.3,25.1,15.1,東京
2024年4月27日,土,19.5,23.2,16.6,東京
2024年4月28日,日,21.6,28.2,15.7,東京
2024年4月29日,月,21.2,25.8,17.4,東京
2024年4月30日,火,20.9,25.2,18.2,東京
2024年5月1日,水,16.5,21.2,11.8,東京
2024年5月2日,木,15.3,21.7,10.8,東京
2024年5月3日,金,17.7,24.2,11.4,東京
2024年5月4日,土,20.9,27.8,14.8,東京
2024年5月5日,日,21.5,27.7,15.4,東京
2024年5月6日,月,20.9,23.6,19.1,東京
2024年5月7日,火,20,22.2,18.6,東京
2024年5月8日,水,17.8,23.8,11.4,東京
2024年5月9日,木,13.7,18.9,10.2,東京
2024年5月10日,金,17.5,24.4,8.7,東京
2024年5月11日,土,20.3,25.9,14.1,東京
2024年5月12日,日,21.1,24.8,17.3,東京
2024年5月13日,月,19.3,22,15.4,東京
2024年5月14日,火,16.9,21.6,12.2,東京
2024年5月15日,水,19.4,25.7,13.8,東京
2024年5月16日,木,18.7,25.1,14.7,東京
2024年5月17日,金,20.6,27.2,13.4,東京
2024年5月18日,土,21.9,28.8,16.2,東京
2024年5月19日,日,20.8,24.1,17.7,東京
2024年5月20日,月,17.4,21.4,14.4,東京
2024年5月21日,火,22.5,28.9,16.9,東京
2024年5月22日,水,20.6,25.3,18,東京
2024年5月23日,木,21.4,25.2,18.1,東京
2024年5月24日,金,23.3,29,18.1,東京
2024年5月25日,土,21.4,25.8,18.3,東京
2024年5月26日,日,21.6,26.6,17.6,東京
2024年5月27日,月,22.3,25.1,20.3,東京
2024年5月28日,火,24,25.9,22.4,東京
2024年5月29日,水,22,25.8,18.8,東京
2024年5月30日,木,22.5,27.3,17.5,東京
2024年5月31日,金,19,21.7,16.6,東京
2024年6月1日,土,20.9,26.3,17.4,東京
2024年6月2日,日,18.7,24.6,16.2,東京
2024年6月3日,月,18.3,24.3,15,東京
2024年6月4日,火,19.5,25.5,14.8,東京
2024年6月5日,水,21.4,27.4,16.4,東京
2024年6月6日,木,22,27,18.1,東京
2024年6月7日,金,22.1,26.7,18.1,東京
2024年6月8日,土,22.8,28.2,17.4,東京
2024年6月9日,日,22.4,25.7,19.9,東京
2024年6月10日,月,20.7,24.7,17.4,東京
2024年6月11日,火,24,29,19.5,東京
2024年6月12日,水,24.6,30.1,20,東京
2024年6月13日,木,22.6,25.4,20,東京
2024年6月14日,金,25.9,31.7,19.5,東京
2024年6月15日,土,24.8,29.9,20.9,東京
2024年6月16日,日,23.7,28.7,19.7,東京
2024年6月17日,月,26,30.5,22.5,東京
2024年6月18日,火,19.2,22.5,18,東京
2024年6月19日,水,23.5,29.5,17.2,東京
2024年6月20日,木,24.4,28.4,20.8,東京
2024年6月21日,金,20.1,23.3,17.3,東京
2024年6月22日,土,23.9,30,16.8,東京
2024年6月23日,日,21.6,24.2,20,東京
2024年6月24日,月,26.7,33.4,21,東京
2024年6月25日,火,27.8,31.8,24.5,東京
2024年6月26日,水,26.9,31.4,24.6,東京
2024年6月27日,木,25.4,29.8,23,東京
2024年6月28日,金,22,23.8,20,東京
2024年6月29日,土,23.7,29,20.7,東京
2024年6月30日,日,25.9,29,22.8,東京
2024年7月1日,月,26.3,29.4,24.6,東京
2024年7月2日,火,27.3,31.4,24.1,東京
2024年7月3日,水,27.7,33.3,23.6,東京
2024年7月4日,木,29.3,35,25,東京
2024年7月5日,金,30.2,35.5,26.2,東京
2024年7月6日,土,28.1,34.2,23.9,東京
2024年7月7日,日,28.9,34.4,24.2,東京
2024年7月8日,月,30.9,36,26.1,東京
2024年7月9日,火,30.1,34.5,26.2,東京
2024年7月10日,水,29.5,33.7,26.6,東京
2024年7月11日,木,27.8,29.6,26.1,東京
2024年7月12日,金,24.4,26.9,22.4,東京
2024年7月13日,土,26.2,31.3,22.5,東京
2024年7月14日,日,25.4,28.8,23.7,東京
2024年7月15日,月,24.6,27.7,23.2,東京
2024年7月16日,火,23.9,27.3,22.2,東京
2024年7月17日,水,25.8,31.3,22.1,東京
2024年7月18日,木,28.4,33.4,24.4,東京
2024年7月19日,金,30,34.5,26,東京
2024年7月20日,土,30.7,35.8,25,東京
2024年7月21日,日,29.1,34.6,24.6,東京
2024年7月22日,月,30.5,36.6,24.8,東京
2024年7月23日,火,29.5,34.5,24.2,東京
2024年7月24日,水,30.1,36,24.9,東京
2024年7月25日,木,30.2,34.8,27,東京
2024年7月26日,金,30.1,35.6,26.1,東京
2024年7月27日,土,30.3,35.6,26.7,東京
2024年7月28日,日,31.6,36.8,26.5,東京
2024年7月29日,月,32.3,37.3,29.3,東京
2024年7月30日,火,30.8,36.1,27.8,東京
2024年7月31日,水,29.4,35.6,24.6,東京
2024年8月1日,木,28.5,33.5,24.5,東京
2024年8月2日,金,28.7,33.9,25.4,東京
2024年8月3日,土,29.4,34.6,26,東京
2024年8月4日,日,30,35.3,25.4,東京
2024年8月5日,月,30,35,26.1,東京
2024年8月6日,火,29.9,33.5,26.6,東京
2024年8月7日,水,28.9,34.6,23.9,東京
2024年8月8日,木,28.1,33.9,24.4,東京
2024年8月9日,金,30,35.3,26.6,東京
2024年8月10日,土,30,34.9,26.8,東京
2024年8月11日,日,31.5,35.9,27.4,東京
2024年8月12日,月,31.2,35.5,28.3,東京
2024年8月13日,火,30.8,34.9,27.7,東京
2024年8月14日,水,30.4,34.7,27.4,東京
2024年8月15日,木,30.3,35.7,26.8,東京
2024年8月16日,金,26.7,29.1,25.2,東京
2024年8月17日,土,30.4,35.9,25.4,東京
2024年8月18日,日,29.7,34,26.9,東京
2024年8月19日,月,29.2,34.5,23.3,東京
2024年8月20日,火,28.3,34.7,23.5,東京
2024年8月21日,水,28.3,33.6,24.6,東京
2024年8月22日,木,27.5,30.5,25.1,東京
2024年8月23日,金,28.9,32.3,27,東京
2024年8月24日,土,29.4,34.4,25.4,東京
2024年8月25日,日,28.6,33.5,25.3,東京
2024年8月26日,月,29.2,33.6,25.9,東京
2024年8月27日,火,27.7,31.5,24.5,東京
2024年8月28日,水,28,31.4,26.2,東京
2024年8月29日,木,27.1,31.4,25.4,東京
2024年8月30日,金,26,27.6,25,東京
2024年8月31日,土,27.1,31.1,24.7,東京
2024年9月1日,日,26.2,30.5,23.7,東京
2024年9月2日,月,29.3,34.1,25.4,東京
2024年9月3日,火,24.9,27.4,23.3,東京
2024年9月4日,水,25.4,30,22.8,東京
2024年9月5日,木,26.7,31.8,22.4,東京
2024年9月6日,金,28.3,33.5,24.6,東京
2024年9月7日,土,28.7,33.8,25.8,東京
2024年9月8日,日,28.9,33.6,25.5,東京
2024年9月9日,月,28.3,33.7,25.2,東京
2024年9月10日,火,28.6,33.7,24.5,東京
2024年9月11日,水,29.6,34.2,26.3,東京
2024年9月12日,木,29.6,34.5,26.8,東京
2024年9月13日,金,29.6,33.9,26.5,東京
2024年9月14日,土,29.5,34.5,26.3,東京
2024年9月15日,日,29.9,34.4,25.8,東京
2024年9月16日,月,25.7,28.3,23.9,東京
2024年9月17日,火,27.7,33.4,23.3,東京
2024年9月18日,水,28.8,35.1,24.8,東京
2024年9月19日,木,27.7,33.6,24.7,東京
2024年9月20日,金,29.4,33.9,25.5,東京
2024年9月21日,土,28.5,32.6,24,東京
2024年9月22日,日,24.6,28.9,22.5,東京
2024年9月23日,月,22.6,27.7,19.7,東京
2024年9月24日,火,20.9,25.3,17.7,東京
2024年9月25日,水,20.4,23.7,17.9,東京
2024年9月26日,木,24.1,29.1,19.4,東京
2024年9月27日,金,23.8,24.8,22.4,東京
2024年9月28日,土,24,27.4,21.8,東京
2024年9月29日,日,22.6,25,21.3,東京
2024年9月30日,月,22.7,25.3,20.5,東京
2024年10月1日,火,23.3,26.6,20.1,東京
2024年10月2日,水,26.5,31.9,22,東京
2024年10月3日,木,23.1,25.4,21.6,東京
2024年10月4日,金,25.9,30.4,22.3,東京
2024年10月5日,土,21.3,24.5,18.9,東京
2024年10月6日,日,21.3,22.9,19.1,東京
2024年10月7日,月,25,29.9,20.7,東京
2024年10月8日,火,18.8,25.3,15.1,東京
2024年10月9日,水,16,17.7,14.9,東京
2024年10月10日,木,17.8,22.1,15.2,東京
2024年10月11日,金,19,24.3,14.3,東京
2024年10月12日,土,20.6,25.8,16.4,東京
2024年10月13日,日,20.9,26.6,16.9,東京
2024年10月14日,月,20.8,26.4,16.8,東京
2024年10月15日,火,22.1,26.6,17.9,東京
2024年10月16日,水,22.6,26.4,19,東京
2024年10月17日,木,22.8,26,20.7,東京
2024年10月18日,金,21.6,22.9,20.5,東京
2024年10月19日,土,24.2,30.1,21.2,東京
2024年10月20日,日,17.4,22.7,13.3,東京
2024年10月21日,月,16.2,20.5,11.5,東京
2024年10月22日,火,19.7,24.4,14.5,東京
2024年10月23日,水,21.9,24.8,18.8,東京
2024年10月24日,木,22.6,26.3,19.8,東京
2024年10月25日,金,20.2,21.8,18.3,東京
2024年10月26日,土,19,20.7,17.2,東京
2024年10月27日,日,19.7,23.8,16.6,東京
2024年10月28日,月,18.8,20.7,17.2,東京
2024年10月29日,火,15.4,18.8,12.4,東京
2024年10月30日,水,16.8,22.4,12.6,東京
2024年10月31日,木,16.2,20.2,12.9,東京
2024年11月1日,金,17,21.9,12.1,東京
2024年11月2日,土,16,16.9,14.9,東京
2024年11月3日,日,17.5,22.6,14.2,東京
2024年11月4日,月,17.2,22.9,11.4,東京
2024年11月5日,火,16.6,19.6,13.5,東京
2024年11月6日,水,14.4,16.5,12.2,東京
2024年11月7日,木,13.4,18,10.7,東京
2024年11月8日,金,11.8,15.8,8.2,東京
2024年11月9日,土,12.7,17.5,7.8,東京
2024年11月10日,日,13.8,16.4,11.4,東京
2024年11月11日,月,16.3,20.7,13.2,東京
2024年11月12日,火,16.3,21.3,11.8,東京
